Entity,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Total confirmed deaths due to COVID-19 per 100,000 people"
Afghanistan,2020-12-31,,,,5.3944364
Afghanistan,2021-12-31,,,,18.127672
Afghanistan,2022-12-31,,,,19.34259
Afghanistan,2023-12-31,,,,19.648169
Afghanistan,2024-12-31,,,,19.709776
Afghanistan,2025-03-30,,,,19.709776
Africa,2020-12-31,,,,4.584581
Africa,2021-12-31,,,,16.114328
Africa,2022-12-31,,,,18.198343
Africa,2023-12-31,,,,18.237682
Africa,2024-12-31,,,,18.241707
Africa,2025-03-30,,,,18.241707
Albania,2020-12-31,,,,41.37763
Albania,2021-12-31,,,,113.59396
Albania,2022-12-31,,,,127.17432
Albania,2023-12-31,,,,127.45724
Albania,2024-12-31,,,,127.5987
Albania,2025-03-30,,,,127.5987
Algeria,2020-12-31,,,,6.0491595
Algeria,2021-12-31,,,,13.789269
Algeria,2022-12-31,,,,15.130595
Algeria,2023-12-31,,,,15.130595
Algeria,2024-12-31,,,,15.130595
Algeria,2025-03-30,,,,15.130595
American Samoa,2020-12-31,,,,0.0
American Samoa,2021-12-31,,,,0.0
American Samoa,2022-12-31,,,,70.29877
American Samoa,2023-12-31,,,,70.29877
American Samoa,2024-12-31,,,,70.29877
American Samoa,2025-03-30,,,,70.29877
Andorra,2020-12-31,,,,105.36615
Andorra,2021-12-31,,,,175.61024
Andorra,2022-12-31,,,,198.1887
Andorra,2023-12-31,,,,199.44307
Andorra,2024-12-31,,,,199.44307
Andorra,2025-03-30,,,,199.44307
Angola,2020-12-31,,,,1.1365222
Angola,2021-12-31,,,,4.930542
Angola,2022-12-31,,,,5.4160194
Angola,2023-12-31,,,,5.4356627
Angola,2024-12-31,,,,5.4356627
Angola,2025-03-30,,,,5.4356627
Anguilla,2020-12-31,,,,0.0
Anguilla,2021-12-31,,,,35.20631
Anguilla,2022-12-31,,,,84.49514
Anguilla,2023-12-31,,,,84.49514
Anguilla,2024-12-31,,,,84.49514
Anguilla,2025-03-30,,,,84.49514
Antigua and Barbuda,2020-12-31,,,,5.3849716
Antigua and Barbuda,2021-12-31,,,,128.16232
Antigua and Barbuda,2022-12-31,,,,157.24117
Antigua and Barbuda,2023-12-31,,,,157.24117
Antigua and Barbuda,2024-12-31,,,,157.24117
Antigua and Barbuda,2025-03-30,,,,157.24117
Argentina,2020-12-31,,,,106.30528
Argentina,2021-12-31,,,,260.25424
Argentina,2022-12-31,,,,286.56686
Argentina,2023-12-31,,,,287.33322
Argentina,2024-12-31,,,,287.91464
Argentina,2025-03-30,,,,287.93884
Armenia,2020-12-31,,,,97.99079
Armenia,2021-12-31,,,,276.7207
Armenia,2022-12-31,,,,302.33786
Armenia,2023-12-31,,,,304.59412
Armenia,2024-12-31,,,,304.90652
Armenia,2025-03-30,,,,304.94122
Aruba,2020-12-31,,,,45.45792
Aruba,2021-12-31,,,,167.91599
Aruba,2022-12-31,,,,259.75955
Aruba,2023-12-31,,,,270.8921
Aruba,2024-12-31,,,,270.8921
Aruba,2025-03-30,,,,270.8921
Asia,2020-12-31,,,,7.124233
Asia,2021-12-31,,,,26.65297
Asia,2022-12-31,,,,32.55234
Asia,2023-12-31,,,,34.698227
Asia,2024-12-31,,,,34.729618
Asia,2025-03-30,,,,34.729874
Asia excl. China,2020-12-31,,,,10.065207
Asia excl. China,2021-12-31,,,,38.026943
Asia excl. China,2022-12-31,,,,45.058125
Asia excl. China,2023-12-31,,,,46.02555
Asia excl. China,2024-12-31,,,,46.0554
Asia excl. China,2025-03-30,,,,46.055553
Australia,2020-12-31,,,,3.5113182
Australia,2021-12-31,,,,9.324077
Australia,2022-12-31,,,,72.17285
Australia,2023-12-31,,,,92.91253
Australia,2024-12-31,,,,96.31698
Australia,2025-03-30,,,,96.31698
Austria,2020-12-31,,,,81.40388
Austria,2021-12-31,,,,184.19847
Austria,2022-12-31,,,,238.66261
Austria,2023-12-31,,,,248.59126
Austria,2024-12-31,,,,248.59126
Austria,2025-03-30,,,,248.59126
Azerbaijan,2020-12-31,,,,25.011396
Azerbaijan,2021-12-31,,,,81.06606
Azerbaijan,2022-12-31,,,,97.20934
Azerbaijan,2023-12-31,,,,100.56038
Azerbaijan,2024-12-31,,,,100.56038
Azerbaijan,2025-03-30,,,,100.56038
Bahamas,2020-12-31,,,,42.76256
Bahamas,2021-12-31,,,,180.35739
Bahamas,2022-12-31,,,,209.53656
Bahamas,2023-12-31,,,,212.80663
Bahamas,2024-12-31,,,,213.56126
Bahamas,2025-03-30,,,,213.56126
Bahrain,2020-12-31,,,,22.954641
Bahrain,2021-12-31,,,,90.905594
Bahrain,2022-12-31,,,,100.1657
Bahrain,2023-12-31,,,,100.1657
Bahrain,2024-12-31,,,,100.1657
Bahrain,2025-03-30,,,,100.1657
Bangladesh,2020-12-31,,,,4.462618
Bangladesh,2021-12-31,,,,16.572906
Bangladesh,2022-12-31,,,,17.380535
Bangladesh,2023-12-31,,,,17.402378
Bangladesh,2024-12-31,,,,17.415367
Bangladesh,2025-03-30,,,,17.415367
Barbados,2020-12-31,,,,2.479421
Barbados,2021-12-31,,,,92.09277
Barbados,2022-12-31,,,,201.18729
Barbados,2023-12-31,,,,210.04236
Barbados,2024-12-31,,,,210.04236
Barbados,2025-03-30,,,,210.04236
Belarus,2020-12-31,,,,15.414399
Belarus,2021-12-31,,,,60.621975
Belarus,2022-12-31,,,,77.59526
Belarus,2023-12-31,,,,77.59526
Belarus,2024-12-31,,,,77.59526
Belarus,2025-03-30,,,,77.59526
Belgium,2020-12-31,,,,168.68507
Belgium,2021-12-31,,,,243.2353
Belgium,2022-12-31,,,,286.20114
Belgium,2023-12-31,,,,294.96265
Belgium,2024-12-31,,,,294.96265
Belgium,2025-03-30,,,,294.96265
Belize,2020-12-31,,,,59.839947
Belize,2021-12-31,,,,148.23422
Belize,2022-12-31,,,,170.82939
Belize,2023-12-31,,,,170.82939
Belize,2024-12-31,,,,170.82939
Belize,2025-03-30,,,,170.82939
Benin,2020-12-31,,,,0.3197789
Benin,2021-12-31,,,,1.1701001
Benin,2022-12-31,,,,1.1846355
Benin,2023-12-31,,,,1.1846355
Benin,2024-12-31,,,,1.1846355
Benin,2025-03-30,,,,1.1846355
Bermuda,2020-12-31,,,,15.43877
Bermuda,2021-12-31,,,,163.65096
Bermuda,2022-12-31,,,,236.21318
Bermuda,2023-12-31,,,,254.7397
Bermuda,2024-12-31,,,,254.7397
Bermuda,2025-03-30,,,,254.7397
Bhutan,2020-12-31,,,,0.0
Bhutan,2021-12-31,,,,0.38416228
Bhutan,2022-12-31,,,,2.6891358
Bhutan,2023-12-31,,,,2.6891358
Bhutan,2024-12-31,,,,2.6891358
Bhutan,2025-03-30,,,,2.6891358
Bolivia,2020-12-31,,,,75.63867
Bolivia,2021-12-31,,,,162.70389
Bolivia,2022-12-31,,,,184.57161
Bolivia,2023-12-31,,,,185.34995
Bolivia,2024-12-31,,,,185.3665
Bolivia,2025-03-30,,,,185.37479
Bonaire Sint Eustatius and Saba,2020-12-31,,,,10.469743
Bonaire Sint Eustatius and Saba,2021-12-31,,,,76.778114
Bonaire Sint Eustatius and Saba,2022-12-31,,,,136.10666
Bonaire Sint Eustatius and Saba,2023-12-31,,,,143.08649
Bonaire Sint Eustatius and Saba,2024-12-31,,,,143.08649
Bonaire Sint Eustatius and Saba,2025-03-30,,,,143.08649
Bosnia and Herzegovina,2020-12-31,,,,126.37274
Bosnia and Herzegovina,2021-12-31,,,,418.99585
Bosnia and Herzegovina,2022-12-31,,,,506.55188
Bosnia and Herzegovina,2023-12-31,,,,511.10754
Bosnia and Herzegovina,2024-12-31,,,,511.8564
Bosnia and Herzegovina,2025-03-30,,,,511.91882
Botswana,2020-12-31,,,,1.762371
Botswana,2021-12-31,,,,100.496124
Botswana,2022-12-31,,,,114.18524
Botswana,2023-12-31,,,,114.75903
Botswana,2024-12-31,,,,114.800026
Botswana,2025-03-30,,,,114.800026
Brazil,2020-12-31,,,,91.61918
Brazil,2021-12-31,,,,294.24542
Brazil,2022-12-31,,,,329.86823
Brazil,2023-12-31,,,,333.85382
Brazil,2024-12-31,,,,333.889
Brazil,2025-03-30,,,,334.12628
British Virgin Islands,2020-12-31,,,,2.60797
British Virgin Islands,2021-12-31,,,,101.71083
British Virgin Islands,2022-12-31,,,,166.91008
British Virgin Islands,2023-12-31,,,,166.91008
British Virgin Islands,2024-12-31,,,,166.91008
British Virgin Islands,2025-03-30,,,,166.91008
Brunei,2020-12-31,,,,0.6587991
Brunei,2021-12-31,,,,13.395582
Brunei,2022-12-31,,,,32.50076
Brunei,2023-12-31,,,,37.55155
Brunei,2024-12-31,,,,39.967148
Brunei,2025-03-30,,,,39.967148
Bulgaria,2020-12-31,,,,104.3531
Bulgaria,2021-12-31,,,,447.24014
Bulgaria,2022-12-31,,,,557.2336
Bulgaria,2023-12-31,,,,565.9358
Bulgaria,2024-12-31,,,,567.86957
Bulgaria,2025-03-30,,,,567.9135
Burkina Faso,2020-12-31,,,,0.37762612
Burkina Faso,2021-12-31,,,,1.4127659
Burkina Faso,2022-12-31,,,,1.7548507
Burkina Faso,2023-12-31,,,,1.7770641
Burkina Faso,2024-12-31,,,,1.7770641
Burkina Faso,2025-03-30,,,,1.7770641
Burundi,2020-12-31,,,,0.015013774
Burundi,2021-12-31,,,,0.105096415
Burundi,2022-12-31,,,,0.11260331
Burundi,2023-12-31,,,,0.11260331
Burundi,2024-12-31,,,,0.11260331
Burundi,2025-03-30,,,,0.11260331
Cambodia,2020-12-31,,,,0.0
Cambodia,2021-12-31,,,,17.50988
Cambodia,2022-12-31,,,,17.765669
Cambodia,2023-12-31,,,,17.765669
Cambodia,2024-12-31,,,,17.765669
Cambodia,2025-03-30,,,,17.765669
Cameroon,2020-12-31,,,,1.6212634
Cameroon,2021-12-31,,,,6.705806
Cameroon,2022-12-31,,,,7.1111217
Cameroon,2023-12-31,,,,7.143692
Cameroon,2024-12-31,,,,7.143692
Cameroon,2025-03-30,,,,7.143692
Canada,2020-12-31,,,,39.34442
Canada,2021-12-31,,,,77.16906
Canada,2022-12-31,,,,125.629616
Canada,2023-12-31,,,,140.23502
Canada,2024-12-31,,,,142.40135
Canada,2025-03-30,,,,142.40135
Cape Verde,2020-12-31,,,,21.548822
Cape Verde,2021-12-31,,,,67.72487
Cape Verde,2022-12-31,,,,79.26888
Cape Verde,2023-12-31,,,,80.23088
Cape Verde,2024-12-31,,,,80.23088
Cape Verde,2025-03-30,,,,80.23088
Cayman Islands,2020-12-31,,,,2.792945
Cayman Islands,2021-12-31,,,,15.361197
Cayman Islands,2022-12-31,,,,51.669483
Cayman Islands,2023-12-31,,,,51.669483
Cayman Islands,2024-12-31,,,,51.669483
Cayman Islands,2025-03-30,,,,51.669483
Central African Republic,2020-12-31,,,,1.2357695
Central African Republic,2021-12-31,,,,1.9811543
Central African Republic,2022-12-31,,,,2.216539
Central African Republic,2023-12-31,,,,2.216539
Central African Republic,2024-12-31,,,,2.216539
Central African Republic,2025-03-30,,,,2.216539
Chad,2020-12-31,,,,0.56894165
Chad,2021-12-31,,,,0.98074704
Chad,2022-12-31,,,,1.0511875
Chad,2023-12-31,,,,1.0511875
Chad,2024-12-31,,,,1.0511875
Chad,2025-03-30,,,,1.0511875
Chile,2020-12-31,,,,84.380775
Chile,2021-12-31,,,,199.94853
Chile,2022-12-31,,,,322.9627
Chile,2023-12-31,,,,318.2473
Chile,2024-12-31,,,,321.48468
Chile,2025-03-30,,,,321.54092
China,2020-12-31,,,,0.33595768
China,2021-12-31,,,,0.39987943
China,2022-12-31,,,,3.6868336
China,2023-12-31,,,,8.552817
China,2024-12-31,,,,8.58776
China,2025-03-30,,,,8.588251
Colombia,2020-12-31,,,,82.37668
Colombia,2021-12-31,,,,251.00726
Colombia,2022-12-31,,,,274.80606
Colombia,2023-12-31,,,,275.86523
Colombia,2024-12-31,,,,275.86523
Colombia,2025-03-30,,,,275.90582
Comoros,2020-12-31,,,,1.0788883
Comoros,2021-12-31,,,,18.820608
Comoros,2022-12-31,,,,19.180237
Comoros,2023-12-31,,,,19.180237
Comoros,2024-12-31,,,,19.180237
Comoros,2025-03-30,,,,19.180237
Congo,2020-12-31,,,,1.6569715
Congo,2021-12-31,,,,6.1142244
Congo,2022-12-31,,,,6.39591
Congo,2023-12-31,,,,6.445619
Congo,2024-12-31,,,,6.445619
Congo,2025-03-30,,,,6.445619
Cook Islands,2020-12-31,,,,0.0
Cook Islands,2021-12-31,,,,0.0
Cook Islands,2022-12-31,,,,6.78104
Cook Islands,2023-12-31,,,,13.56208
Cook Islands,2024-12-31,,,,13.56208
Cook Islands,2025-03-30,,,,13.56208
Costa Rica,2020-12-31,,,,42.426205
Costa Rica,2021-12-31,,,,144.7135
Costa Rica,2022-12-31,,,,178.77647
Costa Rica,2023-12-31,,,,184.30605
Costa Rica,2024-12-31,,,,184.46347
Costa Rica,2025-03-30,,,,184.46347
Cote d'Ivoire,2020-12-28,12.462989,-47.770306,54.579807,
Cote d'Ivoire,2021-12-27,72.0536,-31.301666,164.49138,
Cote d'Ivoire,2022-12-26,109.821884,-5.2215652,287.73083,
Cote d'Ivoire,2023-12-25,134.13882,-15.722749,348.87646,
Cote d'Ivoire,2024-06-17,138.35547,-16.950655,385.5921,
Croatia,2020-12-31,,,,98.79625
Croatia,2021-12-31,,,,319.75687
Croatia,2022-12-31,,,,450.03482
Croatia,2023-12-31,,,,478.29156
Croatia,2024-12-31,,,,480.77426
Croatia,2025-03-30,,,,480.77426
Cuba,2020-12-31,,,,1.311052
Cuba,2021-12-31,,,,75.24534
Cuba,2022-12-31,,,,77.12602
Cuba,2023-12-31,,,,77.12602
Cuba,2024-12-31,,,,77.12602
Cuba,2025-03-30,,,,77.12602
Curacao,2020-12-31,,,,7.553237
Curacao,2021-12-31,,,,100.88966
Curacao,2022-12-31,,,,161.31555
Curacao,2023-12-31,,,,164.55266
Curacao,2024-12-31,,,,164.55266
Curacao,2025-03-30,,,,164.55266
Cyprus,2020-12-31,,,,12.973534
Cyprus,2021-12-31,,,,68.69592
Cyprus,2022-12-31,,,,133.77628
Cyprus,2023-12-31,,,,145.04837
Cyprus,2024-12-31,,,,145.04837
Cyprus,2025-03-30,,,,145.04837
Czechia,2020-12-31,,,,111.381615
Czechia,2021-12-31,,,,340.4035
Czechia,2022-12-31,,,,394.93253
Czechia,2023-12-31,,,,406.19434
Czechia,2024-12-31,,,,410.14816
Czechia,2025-03-30,,,,410.448
Democratic Republic of Congo,2020-12-31,,,,0.5771655
Democratic Republic of Congo,2021-12-31,,,,1.1963245
Democratic Republic of Congo,2022-12-31,,,,1.4277766
Democratic Republic of Congo,2023-12-31,,,,1.4336361
Democratic Republic of Congo,2024-12-31,,,,1.4394957
Democratic Republic of Congo,2025-03-30,,,,1.4394957
Denmark,2020-12-31,,,,21.277685
Denmark,2021-12-31,,,,55.159348
Denmark,2022-12-31,,,,131.83356
Denmark,2023-12-31,,,,160.8193
Denmark,2024-12-31,,,,169.6116
Denmark,2025-03-30,,,,169.6116
Djibouti,2020-12-31,,,,5.364524
Djibouti,2021-12-31,,,,16.62123
Djibouti,2022-12-31,,,,16.62123
Djibouti,2023-12-31,,,,16.62123
Djibouti,2024-12-31,,,,16.62123
Djibouti,2025-03-30,,,,16.62123
Dominica,2020-12-31,,,,0.0
Dominica,2021-12-31,,,,70.306656
Dominica,2022-12-31,,,,110.69559
Dominica,2023-12-31,,,,110.69559
Dominica,2024-12-31,,,,110.69559
Dominica,2025-03-30,,,,110.69559
Dominican Republic,2020-12-31,,,,21.450068
Dominican Republic,2021-12-31,,,,37.80697
Dominican Republic,2022-12-31,,,,39.03574
Dominican Republic,2023-12-31,,,,39.03574
Dominican Republic,2024-12-31,,,,39.03574
Dominican Republic,2025-03-30,,,,39.03574
East Timor,2020-12-31,,,,0.0
East Timor,2021-12-31,,,,8.909668
East Timor,2022-12-31,,,,10.07815
East Timor,2023-12-31,,,,10.07815
East Timor,2024-12-31,,,,10.07815
East Timor,2025-03-30,,,,10.07815
Ecuador,2020-12-31,,,,78.67526
Ecuador,2021-12-31,,,,188.89806
Ecuador,2022-12-31,,,,201.68425
Ecuador,2023-12-31,,,,202.11066
Ecuador,2024-12-31,,,,202.29018
Ecuador,2025-03-30,,,,202.29018
Egypt,2020-12-31,,,,6.7271514
Egypt,2021-12-31,,,,19.29261
Egypt,2022-12-31,,,,22.023073
Egypt,2023-12-31,,,,22.047935
Egypt,2024-12-31,,,,22.047935
Egypt,2025-03-30,,,,22.047935
El Salvador,2020-12-31,,,,21.12951
El Salvador,2021-12-31,,,,60.872734
El Salvador,2022-12-31,,,,67.3533
El Salvador,2023-12-31,,,,67.3533
El Salvador,2024-12-31,,,,67.3533
El Salvador,2025-03-30,,,,67.3533
Equatorial Guinea,2020-12-31,,,,4.7683735
Equatorial Guinea,2021-12-31,,,,9.703086
Equatorial Guinea,2022-12-31,,,,10.146655
Equatorial Guinea,2023-12-31,,,,10.146655
Equatorial Guinea,2024-12-31,,,,10.146655
Equatorial Guinea,2025-03-30,,,,10.146655
Eritrea,2020-12-31,,,,0.029330228
Eritrea,2021-12-31,,,,2.199767
Eritrea,2022-12-31,,,,3.0210133
Eritrea,2023-12-31,,,,3.0210133
Eritrea,2024-12-31,,,,3.0210133
Eritrea,2025-03-30,,,,3.0210133
Estonia,2020-12-31,,,,21.035603
Estonia,2021-12-31,,,,135.39818
Estonia,2022-12-31,,,,201.98624
Estonia,2023-12-31,,,,220.13315
Estonia,2024-12-31,,,,230.13246
Estonia,2025-03-30,,,,232.87302
Eswatini,2020-12-31,,,,15.177358
Eswatini,2021-12-31,,,,106.569664
Eswatini,2022-12-31,,,,116.66055
Eswatini,2023-12-31,,,,117.070755
Eswatini,2024-12-31,,,,117.070755
Eswatini,2025-03-30,,,,117.070755
Ethiopia,2020-12-31,,,,1.5296973
Ethiopia,2021-12-31,,,,5.523818
Ethiopia,2022-12-31,,,,6.0390344
Ethiopia,2023-12-31,,,,6.0406294
Ethiopia,2024-12-31,,,,6.0406294
Ethiopia,2025-03-30,,,,6.0406294
Europe,2020-12-31,,,,77.34711
Europe,2021-12-31,,,,209.4077
Europe,2022-12-31,,,,268.9139
Europe,2023-12-31,,,,279.93015
Europe,2024-12-31,,,,281.79562
Europe,2025-03-30,,,,281.951
European Union (27),2020-12-31,,,,86.22702
European Union (27),2021-12-31,,,,203.95837
European Union (27),2022-12-31,,,,267.69888
European Union (27),2023-12-31,,,,279.91602
European Union (27),2024-12-31,,,,282.3837
European Union (27),2025-03-30,,,,282.5925
Falkland Islands,2020-12-31,,,,0.0
Falkland Islands,2021-12-31,,,,0.0
Falkland Islands,2022-12-31,,,,0.0
Falkland Islands,2023-12-31,,,,0.0
Falkland Islands,2024-12-31,,,,0.0
Falkland Islands,2025-03-30,,,,0.0
Faroe Islands,2020-12-31,,,,0.0
Faroe Islands,2021-12-31,,,,25.907215
Faroe Islands,2022-12-31,,,,51.81443
Faroe Islands,2023-12-31,,,,51.81443
Faroe Islands,2024-12-31,,,,51.81443
Faroe Islands,2025-03-30,,,,51.81443
Fiji,2020-12-31,,,,0.21752656
Fiji,2021-12-31,,,,75.91676
Fiji,2022-12-31,,,,95.82044
Fiji,2023-12-31,,,,96.2555
Fiji,2024-12-31,,,,96.2555
Fiji,2025-03-30,,,,96.2555
Finland,2020-12-31,,,,11.401794
Finland,2021-12-31,,,,34.600407
Finland,2022-12-31,,,,157.36272
Finland,2023-12-31,,,,204.83727
Finland,2024-12-31,,,,205.8787
Finland,2025-03-30,,,,205.8787
France,2020-12-31,,,,98.84343
France,2021-12-31,,,,193.1705
France,2022-12-31,,,,251.51448
France,2023-12-31,,,,261.44022
France,2024-12-31,,,,261.59424
France,2025-03-30,,,,261.6191
French Guiana,2020-12-31,,,,23.800026
French Guiana,2021-12-31,,,,113.63674
French Guiana,2022-12-31,,,,138.4424
French Guiana,2023-12-31,,,,138.4424
French Guiana,2024-12-31,,,,138.4424
French Guiana,2025-03-30,,,,138.4424
French Polynesia,2020-12-31,,,,40.6578
French Polynesia,2021-12-31,,,,226.82773
French Polynesia,2022-12-31,,,,231.46414
French Polynesia,2023-12-31,,,,231.46414
French Polynesia,2024-12-31,,,,231.82079
French Polynesia,2025-03-30,,,,231.82079
Gabon,2020-12-31,,,,2.63293
Gabon,2021-12-31,,,,11.848186
Gabon,2022-12-31,,,,12.5886965
Gabon,2023-12-31,,,,12.629836
Gabon,2024-12-31,,,,12.629836
Gabon,2025-03-30,,,,12.629836
Gambia,2020-12-31,,,,4.7032533
Gambia,2021-12-31,,,,13.009805
Gambia,2022-12-31,,,,14.109759
Gambia,2023-12-31,,,,14.109759
Gambia,2024-12-31,,,,14.109759
Gambia,2025-03-30,,,,14.109759
Georgia,2020-12-31,,,,66.01168
Georgia,2021-12-31,,,,363.65717
Georgia,2022-12-31,,,,445.4273
Georgia,2023-12-31,,,,451.6991
Georgia,2024-12-31,,,,451.96262
Georgia,2025-03-30,,,,451.96262
Germany,2020-12-31,,,,55.90571
Germany,2021-12-31,,,,139.96585
Germany,2022-12-31,,,,197.10481
